Richard Shelby,@SenShelby,,r
Luther Strange,@lutherstrange,,r
Lisa Murkowski,@lisamurkowski,@Lisa4Senate,r
Dan Sullivan,@SenDanSullivan,@DanSullivan2014,r
John McCain,@SenJohnMcCain,@TeamMcCain,r
Jeff Flake,@JeffFlake,@FlakeforSenate,r
Tom Cotton,@SenTomCotton,@TomCottonAR,r
John Boozman,@JohnBoozman,@Boozman4AR,r
Dianne Feinstein,@SenFeinstein,@DianneFeinstein,d
Kamala Harris,@SenKamalaHarris,@KamalaHarris,d
Michael Bennet,@SenBennetCO,@BennetForCO,d
Cory Gardner,@SenCoryGardner,@CoryGardner,r
Christopher Murphy,@ChrisMurphyCT,,d
Richard Blumenthal,@SenBlumenthal,@DickBlumenthal,d
Tom Carper,@SenatorCarper,@TomCarperforDE,d
Chris Coons,@ChrisCoons,@coons4delaware,d
Bill Nelson,@SenBillNelson,@NelsonForSenate,d
Marco Rubio,@marcorubio,,r
David Perdue,@SenDavidPerdue,@Perduesenate,r
Johnny Isakson,@SenatorIsakson,@JohnnyIsakson,r
Brian Schatz,@brianschatz,@SchatzforHawaii,d
Mazie K. Hirono,@maziehirono,@mazieforhawaii,d
Mike Crapo,@MikeCrapo,@crapo4senate,r
Jim Risch,@SenatorRisch,@JimRisch,r
Tammy Duckworth,@SenDuckworth,TammyForIllinois,d
Dick Durbin,@SenatorDurbin,@DickDurbin,d
Joe Donnelly,@SenDonnelly,,d
Todd Young,@SenToddYoung,@ToddYoungIN,r
Chuck Grassley,@ChuckGrassley,@GrassleyWorks,r
Joni Ernst,@joniernst,,r
Pat Roberts,@SenPatRoberts,@PatRoberts2014,r
Jerry Moran,@JerryMoran,@moranforkansas,r
Mitch McConnell,@SenateMajLdr,@Team_Mitch,r
Bill Cassidy,@BillCassidy,,r
John Neely Kennedy,@SenJohnKennedy,@JohnKennedyLA,r
Angus King,@SenAngusKing,@AngusKing2018,i
Susan Collins,@SenatorCollins,@collins4senator,r
Chris Van Hollen,@ChrisVanHollen,@VanHollenForMD,d
Ben Cardin,@SenatorCardin,@BenCardinforMD,d
Ed Markey,@senmarkey,@EdMarkey,d
Elizabeth Warren,@SenWarren,@elizabethforma,d
Gary Peters,@SenGaryPeters,@Peters4Michigan,d
Debbie Stabenow,@SenStabenow,@TeamStabenow,d
Amy Klobuchar,@amyklobuchar,,d
Al Franken,@SenFranken,@alfranken,d
Thad Cochran,@SenThadCochran,,r
Roger Wicker,@SenatorWicker,@RogerWicker,r
Claire McCaskill,@clairecmc,@McCaskill2012,d
Roy Blunt,@RoyBlunt,@RoyBluntMO,r
Steve Daines,@SteveDaines,@DainesforMT,r
Jon Tester,@SenatorTester,@jontester,d
Deb Fischer,@SenatorFischer,@DebFischer2012,r
Ben Sasse,@SenSasse,@Sasse4Senate,r
Catherine Cortez Masto,@SenCortezMasto,"@CatherineForNV
@cortezmasto(En Español)",d
Dean Heller,@SenDeanHeller,@DeanHeller,r
Maggie Hassan,@GovernorHassan,@Maggie_Hassan,d
Cory Booker,@CoryBooker,@Booker4Senate,d
Bob Menendez,@SenatorMenendez,@Menendez4NJ,d
Martin Heinrich,@MartinHeinrich,@Heinrich4NM,d
Tom Udall,@SenatorTomUdall,@tomudall,d
Chuck Schumer,@SenSchumer,@chuckschumer,d
Kirsten Gillibrand,@SenGillibrand,,d
Richard Burr,@SenatorBurr,@Burrforsenate,r
Thom Tillis,@SenThomTillis,@ThomTillis,r
Heidi Heitkamp,@SenatorHeitkamp,@Heidi4ND,d
John Hoeven,@SenJohnHoeven,@hoeven4senate,r
Sherrod Brown,@SenSherrodBrown,@SherrodBrown,d
Rob Portman,@SenRobPortman,@robportman,r
Jim Inhofe,@jiminhofe,@jiminhofe,r
James Lankford,@SenatorLankford,@jameslankford,r
Ron Wyden,@RonWyden,@WydenForOregon,d
Jeff Merkley,@SenJeffMerkley,@JeffMerkley,d
"Bob Casey, Jr.",@SenBobCasey,@Bob_Casey,d
Pat Toomey,@SenToomey,@ToomeyForSenate,r
Jack Reed,@SenJackReed,,d
Sheldon Whitehouse,@SenWhitehouse,@SheldonforRI,d
Lindsey Graham,@GrahamBlog,@LindseyGrahamSC,r
Tim Scott,@SenatorTimScott,@votetimscott,r
Mike Rounds,@SenatorRounds,@RoundsforSenate,r
John Thune,@SenJohnThune,@johnthune,r
Lamar Alexander,@SenAlexander,@LamarAlexander,r
Bob Corker,@SenBobCorker,@CorkerforTN,r
John Cornyn,@JohnCornyn,@TeamCornyn,r
Ted Cruz,@SenTedCruz,@tedcruz,r
Orrin Hatch,@SenOrrinHatch,@OrrinHatch,r
Mike Lee,@SenMikeLee,@mikelee2010,r
Patrick Leahy,@SenatorLeahy,,r
Bernie Sanders,@SenatorSanders,@FriendsOfBernie,i
Tim Kaine,@timkaine,,d
Mark Warner,@MarkWarner,@MarkWarnerVA,d
Patty Murray,@PattyMurray,@MurrayCampaign,d
Maria Cantwell,@SenatorCantwell,@MariaCantwell,d
Shelley Moore Capito,@SenCapito,@CapitoforWV,r
Joe Manchin,@Sen_JoeManchin,@JoeManchinWV,d
Tammy Baldwin,@SenatorBaldwin,@tammybaldwin,d
Ron Johnson,@SenRonJohnson,@Ron4Senate,r
Mike Enzi,@SenatorEnzi,@EnziforWyo,r
John Barrasso,@SenJohnBarrasso,@barrassoforwyo,r
